itemWiki,itemLabel,instanceLabel
Public international law,Public international law,International law
Supranational law,Supranational law,International law
Labor law,Labor law,Civil law
Property law,Property law,Civil law
Tax law,Tax law,Civil law
Tort law,Tort law,Civil law
Comparative law,Comparative law,Law
Competition law,Competition law,Law
Constitutional law,Constitutional law,Law
Criminal law,Criminal law,Law
Criminal justice,Criminal justice,Criminal law
Criminal procedure,Criminal procedure,Criminal law
Forensic science,Forensic science,Criminal procedure
Police science,Police science,Criminal procedure
Sharia,Islamic law,Law
Jewish law,Jewish law,Law
Jurisprudence,Jurisprudence,Law
Legal management,Legal management,Law
Business law,Business law,Legal management
Corporate law,Corporate law,Legal management
Mercantile law,Mercantile law,Legal management
Procedural law,Procedural law,Law
Substantive law,Substantive law,Law
Philosophy,Philosophy,Humanities
Aesthetics,Aesthetics,Philosophy
Philosophy#Applied philosophy,Applied philosophy,Philosophy
Philosophy and economics,Philosophy of economics,Applied philosophy
Philosophy of education,Philosophy of education,Applied philosophy
Philosophy of engineering,Philosophy of engineering,Applied philosophy
Philosophy of history,Philosophy of history,Applied philosophy
Philosophy of language,Philosophy of language,Applied philosophy
Philosophy of law,Philosophy of law,Applied philosophy
Philosophy of mathematics,Philosophy of mathematics,Applied philosophy
Philosophy of music,Philosophy of music,Applied philosophy
Philosophy of psychology,Philosophy of psychology,Applied philosophy
Philosophy of religion,Philosophy of religion,Applied philosophy
Philosophy of science,Philosophy of physical sciences,Applied philosophy
Philosophy of biology,Philosophy of biology,Philosophy of physical sciences
Philosophy of chemistry,Philosophy of chemistry,Philosophy of physical sciences
Philosophy of physics,Philosophy of physics,Philosophy of physical sciences
Philosophy of social science,Philosophy of social science,Applied philosophy
Philosophy of technology,Philosophy of technology,Applied philosophy
Systems philosophy,Systems philosophy,Applied philosophy
Epistemology,Epistemology,Philosophy
Theory of justification,Justification,Epistemology
List of fallacies#Informal fallacies,Reasoning errors,Epistemology
Ethics,Ethics,Philosophy
Applied ethics,Applied ethics,Ethics
Animal rights,Animal rights,Applied ethics
Bioethics,Bioethics,Applied ethics
Environmental ethics,Environmental ethics,Applied ethics
Meta-ethics,Meta-ethics,Ethics
Moral psychology,Moral psychology,Ethics
Normative ethics,Normative ethics,Ethics
Virtue ethics,Virtue ethics,Normative ethics
History of philosophy,History of philosophy,Philosophy
Ancient philosophy,Ancient philosophy,History of philosophy
Contemporary philosophy,Contemporary philosophy,History of philosophy
Medieval philosophy,Medieval philosophy,History of philosophy
Humanism,Humanism,Medieval philosophy
Scholasticism,Scholasticism,Medieval philosophy
Modern philosophy,Modern philosophy,History of philosophy
Logic,Logic,Philosophy
Mathematical logic,Mathematical logic,Logic
Philosophical logic,Philosophical logic,Logic
Meta-philosophy,Meta-philosophy,Philosophy
Metaphysics,Metaphysics,Philosophy
Action (philosophy),Philosophy of Action,Metaphysics
Determinism,Determinism,Metaphysics
Ontology,Ontology,Metaphysics
Philosophy of mind,Philosophy of mind,Metaphysics
Pain (philosophy),Philosophy of pain,Philosophy of mind
Philosophy of artificial intelligence,Philosophy of artificial intelligence,Philosophy of mind
Philosophy of perception,Philosophy of perception,Philosophy of mind
Philosophy of space and time,Philosophy of space and time,Metaphysics
Teleology,Teleology,Metaphysics
Theism,Theism,Metaphysics
Philosophical movement,Philosophical traditions and schools,Philosophy
African philosophy,African philosophy,Philosophical traditions and schools
Analytic philosophy,Analytic philosophy,Philosophical traditions and schools
Aristotelianism,Aristotelianism,Philosophical traditions and schools
Continental philosophy,Continental philosophy,Philosophical traditions and schools
Eastern philosophy,Eastern philosophy,Philosophical traditions and schools
Feminist philosophy,Feminist philosophy,Philosophical traditions and schools
Platonism,Platonism,Philosophical traditions and schools
Social philosophy,Social philosophy,Philosophy
Anarchism,Anarchism,Social philosophy
Feminist philosophy,Feminist philosophy,Social philosophy
Libertarianism,Libertarianism,Social philosophy
Marxism,Marxism,Social philosophy
Theology,Theology,Humanities
Biblical studies,Biblical studies,Theology
Religious studies,Religious studies,Theology
Biblical Hebrew,Biblical Hebrew,Theology
Buddhist devotion,Buddhist theology,Theology
Christian theology,Christian theology,Theology
Anglican theology,Anglican theology,Christian theology
Baptist theology,Baptist theology,Christian theology
Catholic theology,Catholic theology,Christian theology
Eastern Orthodox theology,Eastern Orthodox theology,Christian theology
Protestant theology,Protestant theology,Christian theology
Hindu theology,Hindu theology,Theology
Jewish theology,Jewish theology,Theology
Muslim theology,Muslim theology,Theology
Social Sciences,Social Sciences,Branches of Science
Anthropology,Anthropology,Social Sciences
Biological anthropology,Biological anthropology,Anthropology
Linguistic anthropology,Linguistic anthropology,Anthropology
Cultural anthropology,Cultural anthropology,Anthropology
Social anthropology,Social anthropology,Anthropology
Archaeology,Archaeology,Anthropology
Business,Business,Social Sciences
Accounting,Accounting,Business
Business management,Business management,Business
Finance,Finance,Business
Marketing,Marketing,Business
Operations management,Operations management,Business
Economics,Economics,Social Sciences
Agricultural economics,Agricultural economics,Economics
Anarchist economics,Anarchist economics,Economics
Applied economics,Applied economics,Economics
Behavioural economics,Behavioural economics,Economics
Bioeconomics (biophysical),Bioeconomics,Economics
Complexity economics,Complexity economics,Economics
Computational economics,Computational economics,Economics
Consumer economics,Consumer economics,Economics
Development economics,Development economics,Economics
Ecological economics,Ecological economics,Economics
Econometrics,Econometrics,Economics
Economic geography,Economic geography,Economics
Economic history,Economic history,Economics
Economic sociology,Economic sociology,Economics
Economic systems,Economic systems,Economics
Energy economics,Energy economics,Economics
Entrepreneurial economics,Entrepreneurial economics,Economics
Environmental economics,Environmental economics,Economics
Evolutionary economics,Evolutionary economics,Economics
Experimental economics,Experimental economics,Economics
Feminist economics,Feminist economics,Economics
Financial econometrics,Financial econometrics,Economics
Financial economics,Financial economics,Economics
Green economics,Green economics,Economics
Economic growth,Growth economics,Economics
Human development theory,Human development theory,Economics
Industrial organization,Industrial organization,Economics
Information economics,Information economics,Economics
Institutional economics,Institutional economics,Economics
International economics,International economics,Economics
Islamic economics,Islamic economics,Economics
Labor economics,Labor economics,Economics
Law and economics,Law and economics,Economics
Macroeconomics,Macroeconomics,Economics
Managerial economics,Managerial economics,Economics
Marxian economics,Marxian economics,Economics
Mathematical economics,Mathematical economics,Economics
Microeconomics,Microeconomics,Economics
Monetary economics,Monetary economics,Economics
Neuroeconomics,Neuroeconomics,Economics
Participatory economics,Participatory economics,Economics
Political economy,Political economy,Economics
Public economics,Public economics,Economics
Public finance,Public finance,Economics
Real estate economics,Real estate economics,Economics
Resource economics,Resource economics,Economics
Social choice theory,Social choice theory,Economics
Socialist economics,Socialist economics,Economics
Socioeconomics,Socioeconomics,Economics
Transport economics,Transport economics,Economics
Welfare economics,Welfare economics,Economics
Human and physical geography,Human and physical geography,Social Sciences
Human geography,Human geography,Human and physical geography
Behavioral geography,Behavioral geography,Human geography
Cognitive geography,Cognitive geography,Human geography
Cultural geography,Cultural geography,Human geography
Development geography,Development geography,Human geography
Economic geography,Economic geography,Human geography
Health geography,Health geography,Human geography
Historical geography,Historical geography,Human geography
Language geography,Language geography,Human and physical geography
Social geography,Social geography,Human and physical geography
Continental geography,Continental geography,Human and physical geography
Political science,Political science,Social Sciences
Politics of the United States,American politics,Political science
Politics of Canada,Canadian politics,Political science
Civics,Civics,Political science
Comparative politics,Comparative politics,Political science
European studies,European studies,Political science
Geopolitics,Geopolitics,Political science
International relations,International relations,Political science
International organization,International organization,Political science
Nationalism studies,Nationalism studies,Political science
Peace and conflict studies,Peace and conflict studies,Political science
Policy studies,Policy studies,Political science
Theories of political behavior,Political behavior,Political science
Political culture,Political culture,Political science
Political economy,Political economy,Political science
Political history,Political history,Political science
Political philosophy,Political philosophy,Political science
Public administration,Public administration,Political science
Public law,Public law,Political science
Psephology,Psephology,Political science
Social choice theory,Social choice theory,Political science
Psychology,Psychology,Social Sciences
Abnormal psychology,Abnormal psychology,Psychology
Applied psychology,Applied psychology,Psychology
Asian psychology,Asian psychology,Psychology
Biological psychology,Biological psychology,Psychology
Black psychology,Black psychology,Psychology
Clinical neuropsychology,Clinical neuropsychology,Psychology
Clinical psychology,Clinical psychology,Psychology
Cognitive psychology,Cognitive psychology,Psychology
Community psychology,Community psychology,Psychology
Comparative psychology,Comparative psychology,Psychology
Conservation psychology,Conservation psychology,Psychology
Consumer psychology,Consumer psychology,Psychology
Counseling psychology,Counseling psychology,Psychology
Criminal psychology,Criminal psychology,Psychology
Cultural psychology,Cultural psychology,Psychology
Developmental psychology,Developmental psychology,Psychology
Differential psychology,Differential psychology,Psychology
Ecological psychology,Ecological psychology,Psychology
Educational psychology,Educational psychology,Psychology
Environmental psychology,Environmental psychology,Psychology
Evolutionary psychology,Evolutionary psychology,Psychology
Experimental psychology,Experimental psychology,Psychology
Group dynamics,Group psychology,Psychology
Journal of Family Psychology,Family psychology,Psychology
Feminine psychology,Feminine psychology,Psychology
Forensic developmental psychology,Forensic developmental psychology,Psychology
Forensic psychology,Forensic psychology,Psychology
Health psychology,Health psychology,Psychology
Humanistic psychology,Humanistic psychology,Psychology
Indigenous psychology,Indigenous psychology,Psychology
Legal psychology,Legal psychology,Psychology
Masculine psychology,Masculine psychology,Psychology
Mathematical psychology,Mathematical psychology,Psychology
Media psychology,Media psychology,Psychology
Medical psychology,Medical psychology,Psychology
Military psychology,Military psychology,Psychology
Moral psychology,Moral psychology,Psychology
Music psychology,Music psychology,Psychology
Neuropsychology,Neuropsychology,Psychology
Occupational health psychology,Occupational health psychology,Psychology
Occupational psychology,Occupational psychology,Psychology
Industrial and organizational psychology,Organizational psychology,Psychology
Parapsychology,Parapsychology,Psychology
Pediatric psychology,Pediatric psychology,Psychology
Pedology (children study),Pedology (children study),Psychology
Personality psychology,Personality psychology,Psychology
Phenomenology (psychology),Phenomenology,Psychology
Political psychology,Political psychology,Psychology
Positive psychology,Positive psychology,Psychology
Psychoanalysis,Psychoanalysis,Psychology
Psychobiology,Psychobiology,Psychology
Psychology of religion,Psychology of religion,Psychology
Psychometrics,Psychometrics,Psychology
Psychopathology,Psychopathology,Psychology
Child psychopathology,Child psychopathology,Psychopathology
Psychophysics,Psychophysics,Psychology
Quantitative psychology,Quantitative psychology,Psychology
Rehabilitation Psychology (journal),Rehabilitation psychology,Psychology
School psychology,School psychology,Psychology
Social psychology,Social psychology,Psychology
Sport psychology,Sport psychology,Psychology
Traffic psychology,Traffic psychology,Psychology
Transpersonal psychology,Transpersonal psychology,Psychology
Sociology,Sociology,Social Sciences
Analytical sociology,Analytical sociology,Sociology
Applied sociology,Applied sociology,Sociology
Leisure studies,Leisure studies,Applied sociology
Political sociology,Political sociology,Applied sociology
Public sociology,Public sociology,Applied sociology
Social engineering (political science),Social engineering,Applied sociology
Architectural sociology,Architectural sociology,Sociology
Area studies,Area studies,Sociology
African studies,African studies,Area studies
American studies,American studies,Area studies
Appalachian studies,Appalachian studies,American studies
Canadian studies,Canadian studies,American studies
Latin American studies,Latin American studies,American studies
Asian studies,Asian studies,Area studies
Central Asian studies,Central Asian studies,Asian studies
East Asian studies,East Asian studies,Asian studies
Indology,Indology,Asian studies
Iranian studies,Iranian studies,Asian studies
Japanese studies,Japanese studies,Asian studies
Korean studies,Korean studies,Asian studies
Pakistan studies,Pakistan studies,Asian studies
Sindhology,Sindhology,Asian studies
Sinology,Sinology,Asian studies
Southeast Asian studies,Southeast Asian studies,Asian studies
Thai studies,Thai studies,Asian studies
Australian studies,Australian studies,Area studies
European studies,European studies,Area studies
Celtic studies,Celtic studies,European studies
German studies,German studies,European studies
Sociology in Poland,Sociology in Poland,European studies
Scandinavian studies,Scandinavian studies,European studies
Slavic studies,Slavic studies,European studies
Middle Eastern studies,Middle Eastern studies,Area studies
Collective behavior,Behavioral sociology,Sociology
Chinese sociology,Chinese sociology,Sociology
Collective behavior,Collective behavior,Sociology
Social movements,Social movements,Collective behavior
Community informatics,Community informatics,Sociology
Social network analysis,Social network analysis,Community informatics
Comparative sociology,Comparative sociology,Sociology
Conflict theories,Conflict theory,Sociology
Criminology,Criminology,Sociology
Critical management studies,Critical management studies,Sociology
Critical sociology,Critical sociology,Sociology
Cultural sociology,Cultural sociology,Sociology
Cultural studies,Cultural studies,Sociology
Africana studies,Africana studies,Cultural studies
Cross-cultural studies,Cross-cultural studies,Cultural studies
Culturology,Culturology,Cultural studies
Ethnology,Ethnology,Cultural studies
Whiteness studies,Whiteness studies,Cultural studies
Demography,Demography,Sociology
Digital sociology,Digital sociology,Sociology
Dramaturgical sociology,Dramaturgical sociology,Sociology
Economic sociology,Economic sociology,Sociology
Educational sociology,Educational sociology,Sociology
Empirical sociology,Empirical sociology,Sociology
Environmental sociology,Environmental sociology,Sociology
Evolutionary sociology,Evolutionary sociology,Sociology
Feminist sociology,Feminist sociology,Sociology
Figurational Sociology,Figurational sociology,Sociology
Futures studies,Futures studies,Sociology
Gender studies,Gender studies,Sociology
Men's studies,Men's studies,Gender studies
Women's studies,Women's studies,Gender studies
Historical sociology,Historical sociology,Sociology
Human ecology,Human ecology,Sociology
Humanistic sociology,Humanistic sociology,Sociology
Industrial sociology,Industrial sociology,Sociology
Interactionism,Interactionism,Sociology
Interpretive sociology,Interpretive sociology,Sociology
Ethnomethodology,Ethnomethodology,Interpretive sociology
Phenomenology (philosophy),Phenomenology,Interpretive sociology
Social constructionism,Social constructionism,Interpretive sociology
Symbolic interactionism,Symbolic interactionism,Interpretive sociology
Jealousy sociology,Jealousy sociology,Sociology
Macrosociology,Macrosociology,Sociology
Marxist sociology,Marxist sociology,Sociology
Mathematical sociology,Mathematical sociology,Sociology
Medical sociology,Medical sociology,Sociology
Mesosociology,Mesosociology,Sociology
Microsociology,Microsociology,Sociology
Military sociology,Military sociology,Sociology
Natural resource sociology,Natural resource sociology,Sociology
Organizational studies,Organizational studies,Sociology
Phenomenological sociology,Phenomenological sociology,Sociology
Policy sociology,Policy sociology,Sociology
Psychoanalytic sociology,Psychoanalytic sociology,Sociology
Science studies,Science studies,Sociology
Sexology,Sexology,Sociology
Heterosexism,Heterosexism,Sexology
Human sexual activity,Human sexual behavior,Sexology
Human sexuality,Human sexuality,Sexology
Queer studies,Queer studies,Sexology
Sex education,Sex education,Sexology
Social capital,Social capital,Sociology
Social change,Social change,Sociology
Social conflict theory,Social conflict theory,Sociology
Social control,Social control,Sociology
Pure sociology,Pure sociology,Social control
Social economy,Social economy,Sociology
Social philosophy,Social philosophy,Sociology
Social policy,Social policy,Sociology
Social psychology,Social psychology,Sociology
Social research,Social research,Sociology
Social stratification,Social stratification,Sociology
Social theory,Social theory,Sociology
Social transformation,Social transformation,Sociology
Computational sociology,Computational sociology,Social transformation
Economic sociology,Economic sociology,Social transformation
Economic development,Economic development,Economic sociology
Social development,Social development,Economic sociology
Sociobiology,Sociobiology,Sociology
Sociocybernetics,Sociocybernetics,Sociology
Sociolinguistics,Sociolinguistics,Sociology
Sociological theory,Sociological theory,Sociology
Gerontology#Social gerontology,Sociology of aging,Sociology
Rural sociology,Sociology of agriculture,Sociology
Sociology of art,Sociology of art,Sociology
Societal and cultural aspects of autism,Sociology of autism,Sociology
Sociology of the family#Sociology of childhood,Sociology of childhood,Sociology
Social conflict,Sociology of conflict,Sociology
Sociology of culture,Sociology of culture,Sociology
Sociology of the Internet,Sociology of cyberspace,Sociology
Development theory,Sociology of development,Sociology
Deviance (sociology),Sociology of deviance,Sociology
Sociology of disaster,Sociology of disaster,Sociology
Sociology of education,Sociology of education,Sociology
Sociology of emotions,Sociology of emotions,Sociology
Sociology of the family#Sociology of fatherhood,Sociology of fatherhood,Sociology
Social studies of finance,Sociology of finance,Sociology
Sociology of food,Sociology of food,Sociology
Sociology of gender,Sociology of gender,Sociology
Theory of generations,Sociology of generations,Sociology
World-systems theory,Sociology of globalization,Sociology
Political sociology,Sociology of government,Sociology
Sociology of health and illness,Sociology of health and illness,Sociology
Sociology of human consciousness,Sociology of human consciousness,Sociology
Sociology of immigration,Sociology of immigration,Sociology
Sociology of knowledge,Sociology of knowledge,Sociology
Sociology of language,Sociology of language,Sociology
Sociology of law,Sociology of law,Sociology
Sociology of leisure,Sociology of leisure,Sociology
Sociology of literature,Sociology of literature,Sociology
Economic sociology,Sociology of markets,Sociology
Sociology of the family#Sociology of marriage,Sociology of marriage,Sociology
Sociology of the family#Sociology of motherhood,Sociology of motherhood,Sociology
Sociomusicology,Sociology of music,Sociology
Natural resource management,Sociology of natural resources,Sociology
Organizational behavior,Sociology of organizations,Sociology
Sociology of punishment,Sociology of punishment,Sociology
Sociology of race and ethnic relations,Sociology of race and ethnic relations,Sociology
Sociology of religion,Sociology of religion,Sociology
Risk,Sociology of risk,Sociology
Sociology of scientific knowledge,Sociology of science,Sociology
Sociology of scientific knowledge,Sociology of scientific knowledge,Sociology
Social change,Sociology of social change,Sociology
Social movement,Sociology of social movements,Sociology
Sociology of space,Sociology of space,Sociology
Sociology of sport,Sociology of sport,Sociology
Sociology of terrorism,Sociology of terrorism,Sociology
Sociology of the body,Sociology of the body,Sociology
Sociology of the family,Sociology of the family,Sociology
Sociology of the history of science,Sociology of the history of science,Sociology
Sociology of the Internet,Sociology of the Internet,Sociology
Industrial sociology,Sociology of work,Sociology
Sociomusicology,Sociomusicology,Sociology
Structural sociology,Structural sociology,Sociology
Theoretical sociology,Theoretical sociology,Sociology
Urban studies,Urban studies,Sociology
Victimology,Victimology,Sociology
Visual sociology,Visual sociology,Sociology
Natural Sciences,Natural Sciences,Branches of Science
Biology,Biology,Natural Sciences
Aerobiology,Aerobiology,Biology
Anatomy,Anatomy,Biology
Comparative anatomy,Comparative anatomy,Anatomy
Human anatomy,Human anatomy,Anatomy
Biochemistry,Biochemistry,Biology
Bioinformatics,Bioinformatics,Biology
Biophysics,Biophysics,Biology
Biotechnology,Biotechnology,Biology
Botany,Botany,Biology
Ethnobotany,Ethnobotany,Botany
Phycology,Phycology,Botany
Cell biology,Cell biology,Biology
Chronobiology,Chronobiology,Biology
Computational biology,Computational biology,Biology
Cryobiology,Cryobiology,Biology
Developmental biology,Developmental biology,Biology
Embryology,Embryology,Developmental biology
Teratology,Teratology,Developmental biology
Ecology,Ecology,Biology
Agroecology,Agroecology,Ecology
Ethnoecology,Ethnoecology,Ecology
Human ecology,Human ecology,Ecology
Landscape ecology,Landscape ecology,Ecology
Endocrinology,Endocrinology,Biology
Evolutionary biology,Evolutionary biology,Biology
Genetics,Genetics,Biology
Behavioural genetics,Behavioural genetics,Genetics
Molecular genetics,Molecular genetics,Genetics
Population genetics,Population genetics,Genetics
Histology,Histology,Biology
Human biology,Human biology,Biology
Immunology,Immunology,Biology
Limnology,Limnology,Biology
Linnaean taxonomy,Linnaean taxonomy,Biology
Marine biology,Marine biology,Biology
Mathematical biology,Mathematical biology,Biology
Microbiology,Microbiology,Biology
Molecular biology,Molecular biology,Biology
Mycology,Mycology,Biology
Neuroscience,Neuroscience,Biology
Behavioral neuroscience,Behavioral neuroscience,Neuroscience
Nutrition,Nutrition,Biology
Paleobiology,Paleobiology,Biology
Paleontology,Paleontology,Paleobiology
Parasitology,Parasitology,Biology
Pathology,Pathology,Biology
Anatomical pathology,Anatomical pathology,Pathology
Clinical pathology,Clinical pathology,Pathology
Dermatopathology,Dermatopathology,Pathology
Forensic pathology,Forensic pathology,Pathology
Hematopathology,Hematopathology,Pathology
Histopathology,Histopathology,Pathology
Molecular pathology,Molecular pathology,Pathology
Surgical pathology,Surgical pathology,Pathology
Physiology,Physiology,Biology
Human physiology,Human physiology,Physiology
Exercise physiology,Exercise physiology,Human physiology
Structural Biology,Structural Biology,Biology
Systematics,Systematics,Biology
Systems biology,Systems biology,Biology
Virology,Virology,Biology
Molecular virology,Molecular virology,Virology
Xenobiology,Xenobiology,Biology
Zoology,Zoology,Biology
Animal communication,Animal communication,Zoology
Apiology,Apiology,Zoology
Arachnology,Arachnology,Zoology
Carcinology,Carcinology,Zoology
Cetology,Cetology,Zoology
Entomology,Entomology,Zoology
Forensic entomology,Forensic entomology,Entomology
Ethnozoology,Ethnozoology,Zoology
Ethology,Ethology,Zoology
Helminthology,Helminthology,Zoology
Herpetology,Herpetology,Zoology
Ichthyology,Ichthyology,Zoology
Mammalogy,Mammalogy,Zoology
Malacology,Malacology,Zoology
Conchology,Conchology,Malacology
Myrmecology,Myrmecology,Zoology
Nematology,Nematology,Zoology
Neuroethology,Neuroethology,Zoology
Oology,Oology,Zoology
Ornithology,Ornithology,Zoology
Planktology,Planktology,Zoology
Primatology,Primatology,Zoology
Zootomy,Zootomy,Zoology
Zoosemiotics,Zoosemiotics,Zoology
Chemistry,Chemistry,Natural Sciences
Agrochemistry,Agrochemistry,Chemistry
Analytical chemistry,Analytical chemistry,Chemistry
Astrochemistry,Astrochemistry,Chemistry
Atmospheric chemistry,Atmospheric chemistry,Chemistry
Biochemistry,Biochemistry,Chemistry
Chemical biology,Chemical biology,Chemistry
Chemical engineering,Chemical engineering,Chemistry
Cheminformatics,Cheminformatics,Chemistry
Computational chemistry,Computational chemistry,Chemistry
Cosmochemistry,Cosmochemistry,Chemistry
Electrochemistry,Electrochemistry,Chemistry
Environmental chemistry,Environmental chemistry,Chemistry
Femtochemistry,Femtochemistry,Chemistry
Flavor,Flavor,Chemistry
Flow chemistry,Flow chemistry,Chemistry
Geochemistry,Geochemistry,Chemistry
Green chemistry,Green chemistry,Chemistry
Histochemistry,Histochemistry,Chemistry
Hydrogenation,Hydrogenation,Chemistry
Immunochemistry,Immunochemistry,Chemistry
